Datetime,Longitude,Latitude,Kedalaman,Magnitude,Keterangan,Clus_Db
2021-12-02,110.91,-8.75,26,2.8,"
	Pusat gempa dilaut, 67 km BaratDaya Pacitan Jatim
",-1
2021-12-05,110.83,-8.73,22,3.1,"
	Pusat gempa di laut, 68 km BaratDaya PACITAN-JATIM
",-1
2021-12-06,114.0524983,-7.6,122,0.0,,-1
2021-12-09,111.47,-8.83,9,2.9,"
	Pusat gepa dilaut 82 Km Tenggara Pacitan - JATIM
",-1
2021-12-10,113.1980501,-7.5,12,0.0,,-1
2021-12-11,110.51,-7.98,15,1.7,"
	Pusat gempa di darat&nbsp; 11 km BaratLaut Gunungkidul
",-1
2021-12-12,110.56,-8.06,10,1.4,"
	Pusat gempa di darat 9 km BaratDaya GUNUNGKIDUL-DIY
",-1
2021-12-13,110.46,-7.94,18,1.8,"
	Pusat gempa di darat 12 km Tenggara Bantul-DIY
",-1
2021-12-14,111.89,-7.05,13,3.2,"
	Pusat gempa di darat 11 km TimurLaut BOJONEGORO - JATIM
",-1
2021-12-15,109.61,-8.74,15,2.9,"
	Pusat gempa di laut, 119 km BaratDaya KEBUMEN-JATENG
",0
2021-12-16,110.96,-8.85,17,3.6,"
	Pusat gempa dilaut, 76 Km BaratDaya Pacitan Jatim
",-1
